Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
3;32;Europe;3;1971-1990;non meublé;25.0;30.0;17.5;2019;PARIS;7510832
14;76;Combat;1;1971-1990;meublé;25.8;31.0;18.1;2019;PARIS;7511976
5;33;Saint-Georges;2;Apres 1990;non meublé;24.5;29.4;17.2;2019;PARIS;7510933
13;80;Charonne;3;1971-1990;non meublé;16.7;20.0;11.7;2019;PARIS;7512080
13;80;Charonne;2;Apres 1990;non meublé;21.2;25.44;14.84;2021;PARIS;7512080
13;72;La Chapelle;2;1946-1970;non meublé;19.2;23.04;13.44;2021;PARIS;7511872
2;16;Notre-Dame;3;Avant 1946;meublé;30.9;37.08;21.63;2021;PARIS;7510416
6;65;Ternes;1;1946-1970;non meublé;27.6;33.12;19.32;2021;PARIS;7511765
2;21;Monnaie;1;1946-1970;meublé;35.4;42.48;24.78;2021;PARIS;7510621
5;2;Halles;3;1946-1970;non meublé;20.0;24.0;14.0;2021;PARIS;7510102
2;1;St-Germain-l'Auxerrois;1;Apres 1990;non meublé;33.1;39.72;23.17;2021;PARIS;7510101
11;40;Hôpital-Saint-Louis;4;1946-1970;meublé;24.2;29.04;16.94;2021;PARIS;7511040
4;9;Arts-et-Metiers;2;Apres 1990;meublé;27.2;32.64;19.04;2021;PARIS;7510309
4;9;Arts-et-Metiers;4;Apres 1990;meublé;28.2;33.84;19.74;2021;PARIS;7510309
13;75;Amérique;3;Avant 1946;non meublé;20.6;24.72;14.42;2021;PARIS;7511975
11;41;Folie-Méricourt;1;1971-1990;meublé;29.3;35.16;20.51;2021;PARIS;7511141
11;39;Porte-Saint-Martin;1;1946-1970;meublé;27.7;33.24;19.39;2021;PARIS;7511039
8;57;Saint-Lambert;3;Avant 1946;non meublé;22.7;27.24;15.89;2021;PARIS;7511557
3;32;Europe;4;1946-1970;non meublé;24.5;29.4;17.15;2021;PARIS;7510832
5;52;Croulebarbe;4;Avant 1946;non meublé;20.4;24.48;14.28;2021;PARIS;7511352
